mgapId,mgapId/gender,mgapId/geographic_origin,mgapId/species,rowid,sequenceType,sraAccession,totalReads
m00414,f,India,RHESUS MACAQUE,865156,Whole Genome: Deep Coverage,SRR7865719,299368830
m00416,f,India,RHESUS MACAQUE,865159,Whole Genome: Deep Coverage,SRR7865693,310907085
m00417,m,India,RHESUS MACAQUE,865161,Whole Genome: Deep Coverage,SRR7865672,279519713
m00424,f,India,RHESUS MACAQUE,865169,Whole Genome: Deep Coverage,SRR7865716,397936360
m00428,f,India,RHESUS MACAQUE,865174,Whole Genome: Deep Coverage,SRR7865673,280199539
m00431,m,India,RHESUS MACAQUE,865179,Whole Genome: Deep Coverage,SRR6206176,374599177
m00432,f,India,RHESUS MACAQUE,865180,Whole Genome: Deep Coverage,SRR6206177,321449718
m00433,f,India,RHESUS MACAQUE,865183,Whole Genome: Deep Coverage,SRR6206178,338025595
m00434,f,India,RHESUS MACAQUE,865184,Whole Genome: Deep Coverage,SRR6206179,296275231
m00435,m,India,RHESUS MACAQUE,865186,Whole Genome: Deep Coverage,SRR6206180,330668943
m00436,f,India,RHESUS MACAQUE,865187,Whole Genome: Deep Coverage,SRR6206181,308512042
m00437,f,INDIA,RHESUS MACAQUE,865189,Whole Genome: Deep Coverage,SRR6206182,363924362
m00438,f,India,RHESUS MACAQUE,865190,Whole Genome: Deep Coverage,SRR6206183,314170920
m00439,f,India,RHESUS MACAQUE,865193,Whole Genome: Deep Coverage,SRR6206174,348438891
m00440,m,India,RHESUS MACAQUE,865194,Whole Genome: Deep Coverage,SRR6206175,341321452
m00441,f,India,RHESUS MACAQUE,865197,Whole Genome: Deep Coverage,SRR6206192,308287246
m00442,f,India,RHESUS MACAQUE,865198,Whole Genome: Deep Coverage,SRR6206194,321081351
m00443,f,India,RHESUS MACAQUE,865201,Whole Genome: Deep Coverage,SRR6206193,340004999
m00444,f,INDIA,RHESUS MACAQUE,865202,Whole Genome: Deep Coverage,SRR6206195,361394571
